"재배규모별","경영개황별","항목","단위","1963 년","1964 년","1966 년","1967 년","1968 년","1969 년","1970 년","1971 년","1972 년","1973 년","1974 년","1975 년","1976 년","1977 년","1978 년","1979 년","1980 년","1981 년","1982 년","1983 년","1984 년","1985 년","1986 년","1987 년","1988 년","1989 년","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"0.5ha미만","논벼 재배면적","경영개황","㎡","2410","2400","2426","2383","2674","2717","2707","2420","2377","2572","2304","2317","2426","2314","2383","2496","2674","2866","2664","4972","6526","5782","6843","6142","6496","3246","3593","3583","3488","3521","3521","3451","3488","3474","4159","3504","3544","3494","3507","3445","3435","3385","3438","3406","3512.2670157068","3403.83944","3403.9543","3375.105","3386.873","3337.214","3331.432","3344.844","3334.275","3335.687","3050.409","3114.371","3158.84","3137.034","3136.789","3216.083","3211.235",
"0.5ha미만","자작지","경영개황","㎡","2043","2089","1960","2112","2112","2284","2195","2126","2195","2456","2076","2053","2102","1967","1977","2102","2212","2255","2162","2241","2678","3134","2648","2380","2648","2374","2605","2645","2516","2638","2608","2493","2430","2450","2820","2460","2466","2403","2493","2443","2479","2255","2324","2301","2287.222513089","2219.06981","2228.40402","2268.644","2335.702","2354.707","2421.833","2434.498","2363.116","2315.163","2434.588","2419.431","2441.404","2503.998","2502.566","2515.59","2505.396",
"0.5ha미만","차용지","경영개황","㎡","367","311","466","268","562","433","512","294","182","116","228","264","324","347","407","393","463","612","502","2731","3848","2648","4195","3762","3848","873","988","939","972","883","912","959","1058","1025","1339","1045","1078","1091","1015","1002","955","1131","1114","1105","1225.0445026178","1184.76963","1175.55027","1106.461","1051.17","982.508","909.599","910.346","971.159","1020.523","615.821","694.94","717.436","633.037","634.223","700.493","705.84",
"0.5ha미만","주산물 수량","경영개황","㎏","1732","1765","972.5","889.7","946.3","1101.6","978.6","991.9","971.3","1074.8","1088.1","1063.7","1308","1396.1","1296.4","1323","999.9","1501.9","1499","3062.7","4060.3","3730.7","4465","3795.6","4510.1","2057.2","2230","2154","2155","1914","2185","2110","2422","2423","2488","2385","2436","2480","2276","2022","2323","2252","2292","2166","2472.459604463","2503.30209","2269.41567","2265.526","2189.403","2309.202","2425.139","2478.824","2449.609","2403.242","2209.433","2218.45","2103.642","2335.848","2240.605","2284.129","2264.2",
"0.5ha미만","주산물 평가액","경영개황","원","21665","25938","28729","31103","41396","51110","57221","73904","88973","102483","154129","189098","276409","324081","357366","450357","441483","731177","769934","1462985","2131699","2085938","2732909","2590037","3481826","1711090","2005901","2058903","2141501","1984944","2275295","2435683","2996981","3058671","3765703","3360624","3580927","3561880","3311572","2966693","3357290","2851572","2917775","2790148","3354045.5803063501","3129173.80784","2688454.60413","3052355.551","3199744.932","3454374.64","3494050.794","3264229.96","2781911.435","3074892.626","3400848.642","3389105.224","3569480.343","3943814.518","3465288.732","3685759.016","3477296.794",
"0.5ha미만","부산물 수량","경영개황","㎏","1199","1274","1188","1241","1494","1405","1352","1311","760","1254","1419","1280","1425","1381","1421","1387","1395","1669","1497","2944.3","4298.8","3970.5","4575.5","4035.8","3957","1899","2077","2032","1973","1908","1990","1934","2061","2046","2552","2122","2117","2099","2004","1937","1951","2035","2054","1769","2002.4691099476","1942.03717","1777.32486","1747.814","1718.91","1855.681","1924.43","1969.541","1940.275","1909.088","1799.923","1764.557","1681.738","1888.466","1817.552","1901.812","1826.306",
"0.5ha미만","부산물 평가액","경영개황","원","2336","2831","2687","3427","4279","4902","4759","5855","3702","6647","9009","14404","17670","20187","21152","23033","27642","38791","38430","79346","128523","125416","152062","128982","130166","61217","55048","59713","61075","66156","74362","81049","83461","83112","112510","92765","91434","80171","75266","85833","79765","83445","92774","77615","102635.8691099476","96973.71728","95073.74954","106059.589","105716.174","112236.095","110545.962","111987.101","112204.318","109435.894","117619.017","119689.16","117694.565","134729.076","142413.289","159656.295","154454.065",
"0.5ha미만","평가액","경영개황","원","24001","28769","31416","34530","45675","56012","61980","79759","92675","109130","163138","203502","294079","344268","378518","473390","469125","769968","808364","1542331","2260222","2211354","2884971","2719019","3611992","1772307","2060949","2118616","2202576","2051100","2349657","2516732","3080442","3141783","3878213","3453389","3672361","3642052","3386838","3052526","3437055","2935017","3010549","2867763","3456681.4494162977","3226147.52512","2783528.35368","3158415.141","3305461.107","3566610.735","3604596.757","3376217.061","2894115.753","3184328.52","3518467.659","3508794.384","3687174.908","4078543.594","3607702.021","3845415.311","3631750.859",
"0.5-1.0ha미만","경지면적","경영개황","㎡","7236","7213","7124","7263","7197","7402","7296","7438","7412","7547","7332","7365","7402","7415","7504","7471","7345","7395","7484","8212","8142","7960","7964","7914","7739","7570","11673","11818","11729","11507","12195","12598","12707","12734","12622","12780","12817","13412","13478","12903","12129","11960","12714","12013","11989.4032258065","13806.97239","14437.73347","14834.564","14855.957","14636.636","15693.115","14790.073","14925.407","15165.878","11979.047","12005.047","12153.623","12389.5","12169.953","12436.769","13181.541",
"0.5-1.0ha미만","논","경영개황","㎡","4737","4628","4529","4506","4565","4707","4790","4876","4747","4932","4625","4622","4681","4995","5081","5058","5183","5197","5276","6625","6549","6284","6383","6327","6195","5656","7759","8040","8169","7752","8073","8393","8198","8238","8238","7937","7845","8076","8321","8291","8026","8109","8096","7769","7667.8064516129","7674.34911","8153.24174","8234.128","8156.17","7804.518","8710.764","8005.813","7954.23","7990.872","7591.656","7336.539","7319.47","7209.421","7248.874","7869.236","7991.046",
"0.5-1.0ha미만","밭","경영개황","㎡","2420","2542","2555","2707","2582","2625","2423","2446","2526","2436","2466","2453","2393","2149","2136","2122","1901","1907","1944","1395","1431","1431","1421","1408","1385","1696","3319","3150","2906","3068","3408","3544","3742","3752","3359","3795","3861","4238","4116","3336","3160","2876","3560","3318","2963.7516129032","4681.92702","4914.03926","5074.28","5339.503","5611.503","5611.535","5331.469","5348.549","5702.362","3506.569","3850.843","3962.336","4232.646","3948.202","3920.738","4379.179",
"0.5-1.0ha미만","수원지","경영개황","㎡","76","43","40","50","50","69","83","116","139","179","241","291","327","271","288","291","261","291","264","192","162","245","159","179","159","218","595","628","655","688","714","661","767","744","1025","1048","1111","1098","1041","1276","942","972","1058","927","1357.8451612903","1450.69625","1370.45248","1526.156","1360.284","1220.615","1370.816","1452.79","1622.628","1472.644","880.822","817.665","871.818","947.433","972.877","646.795","811.317",
"0.5-1.0ha미만","자작지","경영개황","㎡","6020","6053","5729","5888","5808","6063","5980","6162","6298","6549","6334","6307","6327","5960","5904","5874","5835","5874","5818","5812","5716","5607","5339","5322","5114","5035","7633","7375","7590","7868","7802","8103","8073","8003","7911","7418","7369","7584","7676","8040","7425","7610","7537","7258","7409.8967741935","7778.98422","7948.81198","8380.295","8018.902","8075.055","8377.665","7864.589","7954.384","7978.392","7841.008","8026.969","8083.777","8488.937","8214.162","7916.607","8127.096",
"0.5-1.0ha미만","논","경영개황","㎡","3954","3878","3656","3686","3653","3805","3898","4020","4007","4238","3974","3941","3970","3993","3950","3934","4093","4116","4119","4661","4539","4400","4215","4258","4099","3845","5207","5131","5392","5342","5309","5630","5422","5402","5190","4714","4638","4787","4955","5316","5084","5253","5094","4982","4952.5741935484","4787.38659","4908.02686","4841.525","4669.19","4656.161","4918.692","4388.624","4665.515","4745.775","4943.419","4753.142","4731.802","4758.457","4633.929","4912.952","5056.289",
"0.5-1.0ha미만","밭","경영개황","㎡","2017","2149","2036","2155","2109","2195","2017","2040","2169","2132","2122","2089","2056","1719","1693","1673","1504","1484","1461","975","1038","998","975","912","893","1005","1980","1755","1709","1990","1967","1957","2089","2017","1924","1917","1901","2023","1944","1812","1564","1531","1630","1540","1578.0935483871","2005.38462","2058.94628","2489.456","2418.152","2518.279","2535.864","2523.073","2277.625","2371.091","2323.814","2682.394","2690.866","2973.917","2821.731","2553.852","2536.174",
"0.5-1.0ha미만","수원지","경영개황","㎡","50","26","40","46","46","63","66","102","122","179","238","278","301","248","261","268","238","274","238","175","139","208","149","152","122","185","446","489","489","536","526","516","562","585","797","787","830","774","777","912","777","826","813","737","879.2290322581","986.21302","981.83884","1049.315","931.559","900.615","923.109","952.892","1011.244","861.526","573.775","591.433","661.109","756.563","758.502","449.803","534.633",
